Product,Category,Ingredients
"Burt's Bees Rescue Balm With Antioxidant Rich Turmeric, Lemon Rating",Lip Balm,BEESWAX  RICINUS COMMUNIS (CASTOR) SEED OIL  THEOBROMA CACAO (COCOA) SEED BUTTER  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  HYDROGENATED CASTOR OIL  MANGO BUTTER DIMER DILINOLEYL ESTERS/DIMER DILINOLEATE COPOLYMER  FLAVOR*  VEGETABLE OIL  LAURYL LAURATE  THEOBROMA GRANDIFLORUM SEED BUTTER  CRAMBE ABYSSINICA SEED OIL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  GLYCINE SOJA (SOYBEAN) OIL  CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL  BIXA ORELLANA SEED EXTRACT  COPERNICIA CERIFERA (CARNAUBA) WAX  CITRUS LIMON (LEMON) FRUIT EXTRACT  HYLOCEREUS UNDATUS FRUIT EXTRACT  TETRAHYDRODIFERULOYLMETHANE  POLYGLYCERYL-10 DIISOSTEARATE  TOCOPHEROL  REBAUDIOSIDE A  AMYL CINNAMAL  CITRAL  LIMONENE
RADIUS Organic Matcha Mint Gel Toothpaste (2018 formulation) Rating,Toothpaste,"Water  Glycerin*  Erythritol*  Organic Flavors*  Chamomilla Recutita (Chamomile) Flower Extract*  Cyamopsis Tetragonoloba (Guar) Gum*  Aloe Barbadensis (Aloe Vera) Leaf Juice*  Mentha Piperita (Peppermint) Oil*  Quillaja Saponaria Wood Extract*  Citric Acid  Coconut Water Concentrate*  Tapioca Maltodextrin*  Oryza Sativa (Rice) Powder*  Melia Azadirachta (Neem) Leaf Extract*  Rosa Centifolia (Rose) Flower Extract*  Hibiscus Sabdariffa (Hibiscus) Flower Extract*  Ocimum Sanctum (Holy Basil) Leaf Extract*  Camellia Sinensis (Green Tea) Leaf Powder*  Jasminum Grandiflorum (Jasmine) Extract*  Xanthan Gum
*Certified Organic"
"eos 100% Natural Lip Balm Stick, Made for Sensitive Skin, Coconut Milk",Lip Balm,"Helianthus
Annuus (Sunflower) Seed Oil  Beeswax/
Cera Alba (Cire d'abeille)  Cocos Nucifera
(Coconut) Oil  Butyrospermum Parkii (Shea)
Butter  Simmondsia Chinensis (Jojoba) Seed
Oil  Flavor (Aroma)  Copernicia Cerifera
(Carnauba) Wax/Cire de carnauba  Olea
Europaea (Olive) Fruit Oil  Cocos Nucifera
e Soja (Coconut) Fruit Extract  Tocopherol  Stevia
Rebaudiana Leaf/Stem Extract  Glycine
Soja (Soybean) Oil"
"Zumbo Kiss Shea Butter Lip Balm, Tea Tree-Lavender Rating",Lip Balm,SUNFLOWER SEED OIL*  BEESWAX*  BUTYROSPERMUM PARKII* (SHEA BUTTER)  PURE ESSENTIAL OILS  TOCOPHEROL (VITAMIN E)  HONEY* & CANDELILLA WAX.
"Lume Whole Body Deodorant, Lavender Sage Rating",Antiperspirant/Deodorant,NEOPENTYL GLYCOL DIHEPTANOATE  PPG-15 STEARYL ETHER  ZEA MAYS (CORN) STARCH  OZOKERITE  STEARYL ALCOHOL  ISODODECANE  ISOPENTYLDIOL  MARANTA ARUNDINACEA ROOT POWDER  LAURYL LAURATE  MANDELIC ACID  SORBITAN OLEATE  FRAGRANCE  SILICA  PANTHENOL  CAFFEINE  ETHYLHEXYLGLYCERIN
"Lush Lip Balm, Lip Service (2019 formulation) Rating",Lip Balm,Fair Trade Shea Butter (Butyrospermum Parkii)  Apricot Kernel Oil (Prunus armeniaca)  Glycerine  Beeswax (Cera Alba)  Fair Trade Organic Cocoa Butter (Theobroma Cacao)  Organic Extra Virgin Olive Oil (Olea Europaea)  Tangerine Oil (Citrus Reticulata)  Flavor  Limonene  Linalool
Native Plastic Free Lilac and White Tea Deodorant Rating,Antiperspirant/Deodorant,Caprylic/Capric Triglyceride  Tapioca Starch  Ozokerite  Sodium Bicarbonate  Magnesium Hydroxide  Cocos Nucifera (Coconut) Oil  Cyclodextrin  Butyrospermum Parkii (Shea) Butter  Fragrance  Glucose  Lactobacillus Acidophilus  Lavandula Hybrida Oil
Stream2Sea Soothing Lip Balm (2018 formulation) Rating,Lip Balm,SUNFLOWER OIL*  BEESWAX*  COCOA BUTTER*  COCONUT OIL*  CUCUMBER FLAVOR*  ALOE VERA OIL*  VITAMIN E  MATCHA GREEN TEA*  EXTRACTS OF CALENDULA*  GREEN TEA*  TULSI*  WAKAME SEAWEED* AND OLIVE LEAF*
CeraVe Diabetics' Dry Skin Relief Hand & Foot Cream (2020 formulation),Foot Moisturizer,AQUA/WATER/EAU  DICAPRYLYL ETHER  CAPRYLIC/CAPRIC TRIGLYCERIDE  GLYCERIN  BORON NITRIDE  GLYCERYL STEARATE  SILICA SILYLATE  SODIUM HYDROXIDE  POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE  VACCINIUM MYRTILLUS FRUIT EXTRACT  HYDROXYETHYL UREA  GLYCERYL STEARATE SE  MYRISTYL ALCOHOL  CERAMIDE NP  CERAMIDE AP  CERAMIDE EOP  CARBOMER  SACCHARUM OFFICINARUM EXTRACT/SUGARCANE EXTRACT/EXTRAIT DE CANNE A SUCRE  CETEARYL ALCOHOL  BEHENTRIMONIUM METHOSULFATE  SODIUM LAUROYL LACTYLATE  CHOLESTEROL  PHENOXYETHANOL  TOCOPHEROL  CAPRYLYL GLYCOL  CITRUS AURANTIUM DULCIS FRUIT EXTRACT/ORANGE FRUIT EXTRACT  CITRUS LIMON FRUIT EXTRACT/LEMON FRUIT EXTRACT  ACER SACCHARUM EXTRACT/SUGAR MAPLE EXTRACT  TRISODIUM ETHYLENEDIAMINE DISUCCINATE  XANTHAN GUM  PHYTOSPHINGOSINE  ETHYLHEXYLGLYCERIN.
"Ajara Ayurvedic Beauty Lip Balm, Vanilla Rose Rating",Lip Balm,Shea Butter  Beeswax  Castor Oil  Almond Oil  Benzoin  Vanilla Oil  Rose Oil  d-alpha Tocopherol  Coconut Oil  & Stevia.
"Elegant Headwear Co Hand Sanitizer, Llamour Rating",Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients: WATER  GLYCERIN  CARBOMER  TRIETHANOLAMINE  PROPYLENE GLYCOL  TOCOPHERYL ACETATE  ALOE BARBADENSIS LEAF EXTRACT.
Follain Lip Balm (2019 formulation) Rating,Lip Balm,Cocos Nucifera (Coconut) Oil*  Beeswax*  Argania Spinosa (Argan) Kernel Oil*  Butyrospermum Parkii (Shea) Butter*  Simmondsia Chinensis (Jojoba) Seed Oil*  Olea Europaea (Olive) Fruit Oil*  Anthemis Nobilis (Chamomile) Flower Oil*  Citrus Sinensis (Orange) Peel Oil*  Tocopherol  Honey*
"Rel No Duh Lip Balm, Most Definitely Rating",Lip Balm,RICINUS COMMUNIS (CASTOR) SEED OIL (Organic) CAPRYLIC/CAPRIC TRIGLYCERIDE OCTYLDODECANOL OZOKERITE COPERNICIA CERIFERA (CARNAUBA) WAX SYNTHETIC BEESWAX EUPHORBIA CERIFERA (CANDELILLA) WAX FLAVOR (AROMA) BUTYROSPERMUM PARKII (SHEA) BUTTER PHENETHYL ALCOHOL PROPANEDIOL PENTYLENE GLYCOL ORYZA SATIVA (RICE) BRAN EXTRACT HELIANTHUS ANNUUS (SUNFLOWER) EXTRACT ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT TOCOPHEROL ROSA CANINA FRUIT OIL (Organic) SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL (Organic) ETHYLHEXYL PALMITATE TRIBEHENIN SORBITAN ISOSTEARATE PALMITOYL TRIPEPTIDE-1 MAY CONTAIN: TITANIUM DIOXIDE CI 77891 IRON OXIDES CI 77499 IRON OXIDES CI 77491 RED 7 LAKE CI 15850 RED 6 LAKE CI 15850 YELLOW 5 LAKE CI 19140
"Eco Lips Lip Food Plump, Rosemary Mint Rating",Lip Balm,*SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  *CERA ALBA (BEESWAX)  *+THEOBROMA CACAO (COCOA) SEED BUTTER  *COCOS NUCIFERA (COCONUT) OIL  *HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  *CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT  CORTHELLUS SHIITAKE (MUSHROOM) EXTRACT  *MENTHA PIPERITA (PEPPERMINT) OIL  MIXED TOCOPHEROLS (VITAMIN E)  *ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  *ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  *CALENDULA OFFICINALIS (CALENDULA) FLOWER EXTRACT  *EUPATORIUM REBAUDIANUM BERTONI (STEVIA) LEAF EXTRACT
"Arganat All Natural Clay Toothpaste, Whitening Nature (2019 formulation)",Toothpaste,GREEN ILLITE (FRENCH GREEN CLAY)  AQUA  KAOLIN (WHITE CLAY)  ARGANIA SPINOZA OIL  JUGLANS REGIA (WALNUT) BARK EXTRACT  MARIS SAL  COMMIPHORA MYRRHA (MYRRH) EXTRACT  THYMUS VULGARIS (THYME) LEAF EXTRACT  ORIGANUM VULGARE FLOWER EXTRACT  SALVIA OFFICINALIS (SAGE) OIL  THYMUS VULGARIS (THYME) LEAF OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAFOIL  ORIGANUM VULGARE LEAF OIL  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  OCIMUM BASILICUM (SWEET BASIL)
An Elf's Story Strawberry Flavored Lip Balm (2018 formulation) Rating,Lip Balm,": MINERAL OIL  OZOKERITE  PETROLATUM 
MICROCRYSTALLINE WAX  FLAVOR  CERESIN  TOCOPHERYL ACETATE."
Shea Moisture Hand Sanitizer Rating,Hand Sanitizer,ACTIVE INGREDIENT: ETHYL ALCOHOL 72%  INACTIVE INGREDIENTS: WATER  HYDROXYPROPYLCELLULOSE  GLYCERIN (VEGETABLE)  PYRUS MALUS (APPLE) FRUIT EXTRACT  SHEA BUTTER ETHYL ESTERS  ARGANIA SPINOSA (ARGAN) KERNEL OIL  BOSWELLIA SERRATA (FRANKINCENSE) EXTRACT  COMMIPHORA MYRRHA (MYRRH) RESIN EXTRACT  FRAGRANCE
"Billion Dollar Smile Top Up Kit With Pineapple Enzyme, Vitamin E and Aloe",Tooth Whitening,: GLYCERIN  PROPYLENE GLYCOL  PHTHALIMIDOPEROXYCAPROIC ACID  ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER  MENTHA ARVENSIS (WILD MINT) LEAF OIL  MICA  HYDROXYAPATITE  MENTHA PIPERITA (PEPPERMINT) OIL  SODIUM SACCHARIN  TOCOPHEROL  BROMELAIN  ALOE BARBADENSIS LEAF JUICE POWDER  PUNICA GRANATUM (POMEGRANATE) SEED OIL  TITANIUM DIOXIDE
"Native Deodorant, Vanilla & Chai Rating",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  TAPIOCA STARCH  OZOKERITE  SODIUM BICARBONATE  MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  CYCLODEXTRIN  BUTYROSPERMUM PARKII (SHEA) BUTTER  FRAGRANCE  GLUCOSE  LACTOBACILLUS ACIDOPHILUS  MYRISTICA FRAGRANS (NUTMEG) KERNEL OIL
"Curie Deodorant & Body Spray, Juniper Eucalyptus Rating",Antiperspirant/Deodorant,"Hamamelis virginiana (witch hazel)
Propanediol (plant-derived)
Saccharomyces Ferment
Sorbitan Oleate Decylglucoside Crosspolymer
Lactobacillus Ferment
Triethyl Citrate
Fragrance"
"A La Maison De Provence Liquid Soap, Provence Lemon Rating",Liquid Hand Soap,AQUA (WATER)  POTASSIUM COCOATE (SAPONIFIED COCONUT OIL)  GLYCERIN (VEGETABLE)  POTASSIUM OLIVATE (SAPONIFIED OLIVE OIL)  COCOS NUCIFERA OIL (COCONUT OIL)  ARGANIA SPINOSA KERNEL OIL (ARGAN OIL)  HYDROXYETHYLCELLULOSE (PLANT-BASED THICKENER)  DECYL GLUCOSIDE  TETRASODIUM GLUTAMATE DIACETATE  FRAGRANCE/PARFUM*  OLEA EUROPAEA FRUIT OIL (OLIVE OIL)  TOCOPHEROL (VITAMIN E)  CITRAL  LIMONENE
"Tubby Todd Bath Co Lip Balm, Pineapple Coconut Rating",Lip Balm,Helianthus Annuus (Sunflower) seed oil*  Cera Alba (Beeswax)*  Ricinus Communis (Castor) Seed oil*  Butyrospermum Parkii (Shea) Butter*  Natural Flavors*  Tocopherol
"Fatco Fat Stick Lip Balm, Lavender + Peppermint (2018 formulation) Rating",Lip Balm,CERA ALBA (BEESWAX)  TALLOW FROM ORGANIC GRASS-FED COWS  THEOBROMA COCAO (COCOA) SEED BUTTER * COCOS NUCIFERA (COCONUT) OIL * BUTYROSPERMUM PARKII (SHEA) BUTTER * PRUNUS DULCIS (SWEET ALMOND) OIL * MENTHA PIPERITA (PEPPERMINT) OIL  LAVANDULA OFFICINALE (LAVENDER) OIL  ALEURITES MOLUCCANA (KUKUI) SEED OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL * ROSA CANINA (ROSEHIP) SEED OIL*.
"Bdb Lip Balm, Punch, Punch Rating",Lip Balm,TRIDECYL TRIMELLITATE  ETHYLHEXYL PALMITATE  OCTYLDODECANOL  SILICA  HYDROGENATED MICROCRYSTALLINE WAX  POLYISOBUTENE  DIISOSTEARYL MALATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  TRIHYDROXYSTEARIN  POLYETHYLENE  SYNTHETIC WAX  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  LIMNANTHES ALBA (MEADOWFOAM) SEED OIL  TOCOPHERYL ACETATE  TITANIUM DIOXIDE (CI 77891)  D&C RED NO.6 BARIUM LAKE (CI 15850)  D&C RED NO.7 CALCIUM LAKE (CI 15850)  D&C RED NO.21 ALUMINUM LAKE (CI 45380).
"Schmidt's Naturals Sensitive Skin Natural Deodorant, Coconut Pineapple",Antiperspirant/Deodorant,Magnesium hydroxide  cocos nucifera (coconut) oil  maranta arundinacea (arrowroot) powder  caprylic/capric triglyceride (fractionated coconut oil)  butyrospermum parkii (shea butter)  euphorbia cerifera (candelilla) wax  chinensis (jojoba) seed oil  natural fragrance  tocopherol (vitamin E  sunflower derived)
"Sephora Collection Vegan Hydrating Lip Balm, 1 Clear Rating",Lip Balm,Hydrogenated Polyisobutene  Synthetic Fluorphlogopite  Synthetic Beeswax  Silica  Ethylene/Propylene/Styrene Copolymer  Butylene/Ethylene/Styrene Copolymer  Caprylic/Capric Triglyceride  Cocos Nucifera (Coconut) Oil  Squalane  Tocopherol  Octyldodecanol  Vanillin  Titanium Dioxide (Ci 77891)  Persea Gratissima (Avocado) Oil  Hydrogenated Vegetable Oil  Helianthus Annuus (Sunflower) Seed Oil  Mentha Piperita (Peppermint) Oil  Mica  Butyrospermum Parkii (Shea) Nut Extract  Cucumis Sativus (Cucumber) Seed Oil  Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate  Iron Oxides (Ci 77492)  Iron Oxides (Ci 77499)  Sorbitan Oleate  Alumina  Magnesium Oxide
"Uncle Pappy's Lappy Lips 100% Natural Lip Balm for Kids, Pappy's Happy",Lip Balm,ORGANIC JOJOBA OIL  ORGANIC COCONUT OIL  ORGANIC SAFFLOWER OIL  ORGANIC CASTOR OIL  NATURALLY GATHERED BEESWAX  ORGANIC NATURAL FLAVORS  NON-GMO VITAMIN E OIL  NATURALLY EXTRACTED STEVIA.
Trilogy Everything Balm Rating,Lip Balm,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  CERA ALBA (BEESWAX)  PARFUM (FRAGRANCE)  SCLEROCARYA BIRREA (MARULA) SEED OIL  OENOTHERA BIENNIS (EVENING PRIMROSE) OIL  ROSA CANINA (ROSEHIP) SEED OIL  TRITICUM VULGARE (WHEAT) GERM OIL  CALENDULA OFFICINALIS FLOWER EXTRACT  GLYCINE SOJA (SOYBEAN) OIL  ECHINACEA PURPUREA ROOT EXTRACT  COCOS NUCIFERA (COCONUT) OIL  TOCOPHERYL ACETATE (VITAMIN E)  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  CARICA PAPAYA (PAPAYA) FRUIT EXTRACT  MEL (HONEY)  CITRAL*  CITRONELLOL*  FARNESOL*  GERANIOL*  LIMONENE*  LINALOOL*
"Vaseline Lip Therapy Lip Tin, Rosy Lips (2020 formulation) Rating",Lip Balm,PETROLATUM  FLAVOR (AROMA)  TITANIUM DIOXIDE (CI 77891)  RED 30 (CI 73360).
Neal's Yard Remedies Arnica Salve 45g Rating,Muscle/Joint Soreness,Olea Europaea (Olive) Fruit Oil*  Helianthus Annuus (Sunflower) Seed Oil*  Glycine Soja (Soybean) Oil*  Cera/Alba/Beeswax*  Arnica Montana Flower Extract*  Rosmarinus Officinalis (Rosemary) Leaf Oil*  Zingiber Officinale (Ginger) Root Oil*  Lavandula Angustifolia (Lavender) Oil*  Symphytum Officinale Root Extract*  Tocopherol Linalool  Limonene  Geraniol  Citral.
"Cire D' Abeille Moisturizing Lip Balm, Lavender & Lemon (2020",Lip Balm,BEESWAX  COCONUT OIL  SHEA BUTTER  SWEET ALMOND OIL  CASTOR OIL  VITAMIN E  CARROT SEED OIL  LEMON ESSENTIAL OIL  LAVENDER ESSENTIAL OIL  AND STEVIA.
"Burt's Bees Moisturizing Lip Balm, Sweet Mandarin Rating",Lip Balm,Helianthus Annuus (Sunflower) Seed Oil  Cocos Nucifera (Coconut) Oil  Beeswax  Ricinus Communis (Castor) Seed Oil  Flavor (Natural Flavor)  Lanolin  Citrus Nobilis (Mandarin Orange) Fruit Extract  Theobroma Cacao (Cocoa) Seed Butter  Butyrospermum Parkii (Shea) Butter  Carthamus Tinctorius (Safflower) Seed Oil  Glycine Soja (Soybean) Oil  Tocopherol  Rebaudioside a  Citric Acid  Limonene  Citral  Linalool
Vaseline Original Lip Therapy Stick Rating,Lip Balm,Octyldodecanol  Microcrystalline Wax (Cera Microcristallina)  Caprylic/Capric Triglyceride  Ricinus Communis (Castor) Seed Oil  Cetyl Palmitate  Petrolatum  Myristyl Myristate  Polyglyceryl-3 Distearate  Water (Aqua)  Butyrospermum Parkii (Shea) Butter  Copernicia Cerifera (Carnauba) Wax (Copernicia Cerifera Cera)  Cetearyl Alcohol  C20-40 Alkyl Stearate  Beeswax (Cera Alba)  Glycerin  Tocopheryl Acetate  Panthenol
"Poppy & Pout Lip Balm, Blood Orange Mint Rating",Lip Balm,Cocos Nucifera (Coconut) Oil  Cera Alba (Beeswax)  Helianthus Annuus (Sunflower) Oil  Citrus Aurantium Dulcis (Blood Orange) Oil  Citrus Aurantium Dulcis (Sweet Orange) Oil  Mentha Piperita (Peppermint) Oil  Tocopherol (Vitamin E)
Schmidt's Rose + Vanilla Deodorant (2019 formulation) Rating,Antiperspirant/Deodorant,BUTYROSPERMUM PARKII (SHEA BUTTER)  MARANTA ARUNDINACEA (ARROWROOT) POWDER  SODIUM BICARBONATE (BAKING SODA)  CACAO (COCOA) SEED BUTTER  TOCOPHEROL (VITAMIN E)  NATURAL FRAGRANCE.
"Just the Goods Vegan lip balm, sweet orange Rating",Lip Balm,cocos nucifera oil  theobroma cacao seed butter  euphorbia cerifera wax  persea gratissima oil  ricinus communis seed oil  simmondsia chinensis seed oil  olea europaea fruit oil  hippophae rhamnoides oil  citrus sinensis oil  tocopherol
"Lafe's Lavender & Aloe Soothe Deodorant Stick, 2.25 Oz Rating",Antiperspirant/Deodorant,PROPANEDIOL  AQUA (WATER)  SODIUM STEARATE  ZEA MAYS (CORNSTARCH)  GLYCERIN  SILICA  SACCHAROMYCES FERMENT  POLYGLYCERYL-3 LAURATE  STEARIC ACID  ETHYLHEXYLGLYCERIN  LAVANDULA HYBRIDA* (LAVENDER) OIL  ALOE BARBADENSIS* (ALOE VERA) LEAF EXTRACT  CORIANDRUM SATIVUM (CORIANDER) SEED EXTRACT  CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT  HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT  *CERTIFIED ORGANIC
"Leap Organics Lip Balm, Lavender (2019 formulation) Rating",Lip Balm,ORGANIC COCONUT OIL  ORGANIC BEESWAX  ORGANIC CASTOR OIL  ORGANIC SHEA BUTTER  ORGANIC EXTRA VIRGIN OLIVE OIL  ORGANIC ORANGE OIL  ORGANIC LAVENDER OIL  ORGANIC CLOVE OIL  TOCOPHEROL.
"Cleancult Hand Soap Gel Refill, Lavender Rating",Liquid Hand Soap,SAPONIFIED COCONUT OIL  SAPONIFIED OLIVE OIL  POTASSIUM SOAP  CITRIC ACID  VITAMIN E  SALT  ALOE VERA GEL  ESSENTIAL OIL BLEND
"Native Girl Scouts Deodorant, Peanut Butter Rating",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  TAPIOCA STARCH  OZOKERITE  SODIUM BICARBONATE  MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  CYCLODEXTRIN  BUTYROSPERMUM PARKII (SHEA) BUTTER  FRAGRANCE
"Own Beauty Aluminum Free Deodorant, Citrus + Sage (2018 formulation)",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDES  ARROWROOT STARCH  CETYL ALCOHOL  SHEA BUTTER  CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS  GLYCERYL STEARATE  CETEARYL ALCOHOL  SODIUM STEAROYL LACTYLATE  LEMON EXTRACT  LIME EXTRACT  ORANGE EXTRACT  SAGE EXTRACT  VANILLA EXTRACT  CUCUMBER EXTRACT  SANDALWOOD EXTRACT  HYDROGENATED CASTOR OIL  VITAMIN E ACETATE  GLYCERYL CAPRYLATE  GLYCERYL UNDECYLENATE
"Chagrin Valley Soap & Salve Company Coconut Cream Deodorant, Citrus",Antiperspirant/Deodorant,Organic Virgin Coconut Oil  Organic Jojoba Oil  Organic Arrowroot Powder  Baking Soda  Organic Virgin Shea Butter  Organic Beeswax  Organic Lemon Essential Oil  Organic Lavender Essential Oil  Organic Lime Essential Oil  Organic Bergamot Essential Oil  Organic Grapefruit Essential Oil
Schmidt's Hemp Seed Oil Enriched Natural Deodorant Sensitive Skin,Antiperspirant/Deodorant,MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  MARANTA ARUNDINACEA (ARROWROOT) POWDER  BUTYROSPERMUM PARKII (SHEA) BUTTER  CAPRYLIC/CAPRIC TRIGLYCERIDE (FRACTIONATED COCONUT OIL / HUILE DE COCO FRACTIONNEE)  EUPHORBIA CERIFERA (CANDELILLA) WAX  CANNABIS SATIVA (HEMP) SEED OIL  SIMMONDSIA CHINENSIS (JOJOBA) ESTERS  PARFUM (NATURAL FRAGRANCE/FRAGRANCE NATURELLE)  TOCOPHEROL (VITAMIN E  SUNFLOWER DERIVED / DERIVE DE TOURNESOL)  BETA-SITOSTEROL  SQUALENE.
"J.R. Watkins Lip Balm, Coconut Milk & Honey (2019 formulation) Rating",Lip Balm,: BEESWAX  COCOS NUCIFERA (COCONUT) OIL*  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  FLAVOR  LANOLIN  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT*  SYMPHYTUM OFFICINALE (COMFREY) LEAF EXTRACT  TOCOPHEROL.
"Burt's Bees Moisturizing Lip Balm, Cranberry Spritz Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  COCOS NUCIFERA (COCONUT) OIL  BEESWAX  RICINUS COMMUNIS (CASTOR) SEED OIL  FLAVOR*  LANOLIN  VACCINIUM MACROCARPON (CRANBERRY) FRUIT EXTRACT  BUTYROSPERMUM PARKII (SHEA) BUTTER  THEOBROMA CACAO (COCOA) SEED BUTTER  TOCOPHEROL  REBAUDIOSIDE A  CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL  GLYCINE SOJA (SOYBEAN) OIL  CITRAL
"Miracle Butter Cream All Natural Deodorant, Lemon Verbena Rating",Antiperspirant/Deodorant,Candelilla Wax  Cocoa Butter  Coco-Caprylate/Caprate  Caprylic/Capric Triglyceride  Zinc Oxide  Coconut Oil  Sunflower Seed Wax  Arrow Root Powder  Zinc Ricinoleate  Lactobacillus Ferment  Essential Oils  and Tocopherol!
"Em Cosmetics LIP CUSHION NOURISHING BALM, CLEAR QUARTZ Rating",Lip Balm,Hydrogenated Poyisobutene  Diisostearyl Malate  Caprylic/ Capric Triglyceride  Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate  Polyethylene  Diphenylsiloxy Phenyl Trimethicone  Silica Dimethyl Silylate  Phenoxyethanol  Tocopherol  Simethicone  Silica  Aluminum Hydroxide  BHT  Sodium Hyaluronate. MAY CONTAIN (+/-): Iron Oxides (CI 77499)  Titanium Dioxide (CI 77891)  MICA (CI 77019)  Iron Oxides (CI 77491  CI 77492)  Simmondsia Chinensis (Jojoba) Seed Oil  Squalane.
"Everspring Concentrate Foaming Hand Soap, Lavender & Bergamot Rating",Liquid Hand Soap,SODIUM CITRATE (PLANT-DERIVED)  SODIUM BENZOATE (SYNTHETIC)  GLUCONOLACTONE (PLANT-DERIVED)  ALGIN (PLANT-DERIVED)  FRAGRANCE (PLANT-DERIVED)  SODIUM LAURYL SULFOACETATE (PLANT-DERIVED)  CITRIC ACID (PLANT-DERIVED)  SODIUM C14-16 OLEFIN SULFONATE (SYNTHETIC)  SODIUM SESQUICARBONATE (MINERAL-DERIVED)  HYDRATED SILICA (MINERAL-DERIVED). (PARENTHESIS STATE SOURCE OF INGREDIENT).
"Beauty Bakerie the Jellies Lip Balm, Water Cake Rating",Lip Balm,HYDROGENATED POLYDECENE  ISOSTEARYL ALCOHOL  OCTYLDODECANOL  DIBUTYL LAUROYL GLUTAMIDE  DIBUTYL ETHYLHEXANOYL GLUTAMIDE  ETHYLHEXYL PALMITATE  HYDROGENATED STYRENE/ISOPRENE COPOLYMER  ETHYLHEXYLGLYCERIN  1 2-HEXANEDIOL  CAPRYLYL GLYCOL  RED 27 LAKE (CI 45410)  CITRIC ACID  PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE.
"O My! Goat Milk Lip Balm With Vitamin E and Shea Butter, Peppermint",Lip Balm,CERA ALBA (BEESWAX)  BUTYROSPERMUM PARKII (SHEA BUTTER) FRUIT  THEOBROMA CACAO (COCOA) SEED BUTTER  PERSEA GRATISSIMA (AVOCADO) OIL  PRUNUS DULCIS (ALMOND) OIL  PRUNUS ARMENIACA (APRICOT) KERNEL OIL  TOCOPHEROL (VITAMIN E)  NATURAL FLAVORING  GOAT'S MILK.
"Secret Aluminum Free With Essential Oils Deodorant, Rose + Geranium",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  TAPIOCA STARCH  OZOKERITE  SODIUM BICARBONATE  MAGNESIUM HYDROXIDE  COCOS NUCIFERA (COCONUT) OIL  CYCLODEXTRIN  BUTYROSPERMUM PARKII (SHEA) BUTTER  PELARGONIUM GRAVEOLENS FLOWER OIL  FRAGRANCE  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL
Jk Naturals Natural Deodorant Cream (2019 formulation) Rating,Antiperspirant/Deodorant,ORGANIC COCOS NUCIFERA (COCONUT) OIL  GARCINIA INDICA SEED (KOKUM) BUTTER  ORGANIC ZEA MAYS (NON-GMO CORN STARCH)  SODIUM BICARBONATE  ZINC OXIDE  EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF OIL  ROSMARINUS OFFICINALIS (ROSEMARY) OIL  CALLITRIS INTRATROPICA (CYPRESS) OIL
